n_features,n_trees,min_samples_leaf,max_features,criterion,MAE,StdMAE,RMSE,StdRMSE,MaxE,StdMaxE,R2,StdR2,Time,StdTime
136,100,1,auto,mse,0.136995988172615,0.001008646328152,0.210993812380702,0.001957762419917,2.97094933333333,0.282273673644725,0.817480790990837,0.004260327124356,1914.65513556798,117.01764670201
10,50,10,0.1,mse,0.215007087303042,0.001406497471965,0.340817267812908,0.002898738434106,3.48349342699,0.135142251137822,0.523858454801058,0.003522626310145,13.4620361010234,1.2867868866215
10,50,10,0.1,mse,0.15155416520943,0.001980264416645,0.230863630735002,0.003887808780467,3.02930302874452,0.318548839126641,0.781375787218792,0.008531599661375,119.625309753418,2.16470481689618
10,50,10,0.25,mse,0.143689757824876,0.001932879972563,0.220196069682825,0.003581973602771,2.91792799035076,0.350555544087074,0.801206846118313,0.005461677378942,130.045189491908,5.83651299255745
10,50,10,0.5,mse,0.139718135810567,0.00143117439138,0.215874979540421,0.003179531109387,2.99483998293335,0.317952683415505,0.808865675127679,0.006751885886749,151.146039374669,5.799558684425
10,50,10,0.75,mse,0.139513100393805,0.001438407266847,0.215853053983134,0.002126089540736,3.01418296100552,0.337360341458702,0.808966847544698,0.003178692733062,162.526124064128,6.33446890146578
10,50,10,auto,mse,0.140399093352566,0.001787923195967,0.218812655460142,0.002608490869198,3.0651300185025,0.290609722184204,0.803614576236625,0.006188730477333,191.878346061707,10.5261872726024
10,100,10,0.1,mse,0.151132687801402,0.001932738312692,0.229504595985017,0.003565035795412,3.05183488881597,0.272129398085251,0.783970262533449,0.007571712814796,149.74919295311,2.35467840881028
10,100,10,0.25,mse,0.142793532274518,0.00138195468486,0.21890313630992,0.003229009834137,2.96883435889809,0.297649467883648,0.803539590410607,0.00503363686286,158.964402532578,9.51255981231631
10,100,10,0.5,mse,0.139652879973911,0.002041665065074,0.21609139491454,0.003163703971977,3.08094329819203,0.274685547502096,0.808546242869274,0.005552150288423,199.706282981237,16.4492085764869
10,100,10,0.75,mse,0.139162739162027,0.001054348625072,0.215761565682083,0.002831471425647,3.07102743885749,0.240693139768228,0.809079064779377,0.005630312715878,181.902027718226,6.12506310199577
